phrase,domain,tld,rough_status,mentions,score
behind app,behindapp.com,.com,taken_or_active,1,34
behind app,behindapp.ai,.ai,maybe_available,1,34
behind app,behindapp.io,.io,maybe_available,1,34
flashcat local,flashcatlocal.com,.com,maybe_available,1,34
flashcat local,flashcatlocal.ai,.ai,maybe_available,1,34
flashcat local,flashcatlocal.io,.io,maybe_available,1,34
local assistant,localassistant.com,.com,taken_or_active,1,34
local assistant,localassistant.ai,.ai,taken_or_active,1,34
local assistant,localassistant.io,.io,maybe_available,1,34
assistant mac,assistantmac.com,.com,maybe_available,1,34
assistant mac,assistantmac.ai,.ai,maybe_available,1,34
assistant mac,assistantmac.io,.io,maybe_available,1,34
mac terminal,macterminal.com,.com,taken_or_active,1,34
mac terminal,macterminal.ai,.ai,maybe_available,1,34
mac terminal,macterminal.io,.io,maybe_available,1,34
terminal asks,terminalasks.com,.com,maybe_available,1,34
terminal asks,terminalasks.ai,.ai,maybe_available,1,34
terminal asks,terminalasks.io,.io,maybe_available,1,34
nintendo wins,nintendowins.com,.com,maybe_available,1,34
nintendo wins,nintendowins.ai,.ai,maybe_available,1,34
nintendo wins,nintendowins.io,.io,maybe_available,1,34
wins judgment,winsjudgment.com,.com,maybe_available,1,34
wins judgment,winsjudgment.ai,.ai,maybe_available,1,34
wins judgment,winsjudgment.io,.io,maybe_available,1,34
mod archbox,modarchbox.com,.com,maybe_available,1,34
mod archbox,modarchbox.ai,.ai,maybe_available,1,34
mod archbox,modarchbox.io,.io,maybe_available,1,34
pomodoro limit,pomodorolimit.com,.com,maybe_available,1,34
pomodoro limit,pomodorolimit.ai,.ai,maybe_available,1,34
pomodoro limit,pomodorolimit.io,.io,maybe_available,1,34
trump admin,trumpadmin.com,.com,taken_or_active,1,34
trump admin,trumpadmin.ai,.ai,maybe_available,1,34
trump admin,trumpadmin.io,.io,maybe_available,1,34
admin deny,admindeny.com,.com,maybe_available,1,34
admin deny,admindeny.ai,.ai,maybe_available,1,34
admin deny,admindeny.io,.io,maybe_available,1,34
deny medical,denymedical.com,.com,maybe_available,1,34
deny medical,denymedical.ai,.ai,maybe_available,1,34
deny medical,denymedical.io,.io,maybe_available,1,34
medical care,medicalcare.com,.com,taken_or_active,1,34
medical care,medicalcare.ai,.ai,taken_or_active,1,34
medical care,medicalcare.io,.io,taken_or_active,1,34
care seniors,careseniors.com,.com,taken_or_active,1,34
care seniors,careseniors.ai,.ai,maybe_available,1,34
care seniors,careseniors.io,.io,maybe_available,1,34
member states,memberstates.com,.com,taken_or_active,1,34
member states,memberstates.ai,.ai,maybe_available,1,34
member states,memberstates.io,.io,maybe_available,1,34
states plan,statesplan.com,.com,maybe_available,1,34
states plan,statesplan.ai,.ai,maybe_available,1,34
states plan,statesplan.io,.io,maybe_available,1,34
plan digital,plandigital.com,.com,taken_or_active,1,34
plan digital,plandigital.ai,.ai,maybe_available,1,34
plan digital,plandigital.io,.io,maybe_available,1,34
latent representations,latentrepresentations.com,.com,maybe_available,3,32
latent representations,latentrepresentations.ai,.ai,maybe_available,3,32
latent representations,latentrepresentations.io,.io,maybe_available,3,32
long-horizon reasoning,longhorizonreasoning.com,.com,taken_or_active,3,32
long-horizon reasoning,longhorizonreasoning.ai,.ai,maybe_available,3,32
long-horizon reasoning,longhorizonreasoning.io,.io,maybe_available,3,32
000 buses,000buses.com,.com,maybe_available,2,27
000 buses,000buses.ai,.ai,maybe_available,2,27
000 buses,000buses.io,.io,maybe_available,2,27
task motion planning,taskmotionplanning.com,.com,maybe_available,2,26
task motion planning,taskmotionplanning.ai,.ai,maybe_available,2,26
task motion planning,taskmotionplanning.io,.io,maybe_available,2,26
nearly quadratic lower,nearlyquadraticlower.com,.com,maybe_available,2,26
nearly quadratic lower,nearlyquadraticlower.ai,.ai,maybe_available,2,26
nearly quadratic lower,nearlyquadraticlower.io,.io,maybe_available,2,26
health record ehr,healthrecordehr.com,.com,maybe_available,2,26
health record ehr,healthrecordehr.ai,.ai,maybe_available,2,26
health record ehr,healthrecordehr.io,.io,maybe_available,2,26
solving optimal power,solvingoptimalpower.com,.com,maybe_available,2,26
solving optimal power,solvingoptimalpower.ai,.ai,maybe_available,2,26
solving optimal power,solvingoptimalpower.io,.io,maybe_available,2,26
skills extended finite,skillsextendedfinite.com,.com,maybe_available,2,26
skills extended finite,skillsextendedfinite.ai,.ai,maybe_available,2,26
skills extended finite,skillsextendedfinite.io,.io,maybe_available,2,26
extended finite state,extendedfinitestate.com,.com,maybe_available,2,26
extended finite state,extendedfinitestate.ai,.ai,maybe_available,2,26
extended finite state,extendedfinitestate.io,.io,maybe_available,2,26
finite state machines,finitestatemachines.com,.com,maybe_available,2,26
finite state machines,finitestatemachines.ai,.ai,maybe_available,2,26
finite state machines,finitestatemachines.io,.io,maybe_available,2,26
orbital error dynamics,orbitalerrordynamics.com,.com,maybe_available,2,26
orbital error dynamics,orbitalerrordynamics.ai,.ai,maybe_available,2,26
orbital error dynamics,orbitalerrordynamics.io,.io,maybe_available,2,26
node edge features,nodeedgefeatures.com,.com,maybe_available,2,26
node edge features,nodeedgefeatures.ai,.ai,maybe_available,2,26
node edge features,nodeedgefeatures.io,.io,maybe_available,2,26
noise variance known,noisevarianceknown.com,.com,maybe_available,2,26
noise variance known,noisevarianceknown.ai,.ai,maybe_available,2,26
noise variance known,noisevarianceknown.io,.io,maybe_available,2,26
pretraining zero data,pretrainingzerodata.com,.com,maybe_available,2,26
pretraining zero data,pretrainingzerodata.ai,.ai,maybe_available,2,26
pretraining zero data,pretrainingzerodata.io,.io,maybe_available,2,26
enjoying programming,enjoyingprogramming.com,.com,maybe_available,1,26
enjoying programming,enjoyingprogramming.ai,.ai,maybe_available,1,26
enjoying programming,enjoyingprogramming.io,.io,maybe_available,1,26
programming world,programmingworld.com,.com,taken_or_active,1,26
programming world,programmingworld.ai,.ai,maybe_available,1,26
programming world,programmingworld.io,.io,maybe_available,1,26
aerofi rofi-inspired,aerofirofiinspired.com,.com,maybe_available,1,26
aerofi rofi-inspired,aerofirofiinspired.ai,.ai,maybe_available,1,26
aerofi rofi-inspired,aerofirofiinspired.io,.io,maybe_available,1,26
scriptable launcher,scriptablelauncher.com,.com,maybe_available,1,26
scriptable launcher,scriptablelauncher.ai,.ai,maybe_available,1,26
scriptable launcher,scriptablelauncher.io,.io,maybe_available,1,26
macos rust gpui,macosrustgpui.com,.com,maybe_available,1,26
macos rust gpui,macosrustgpui.ai,.ai,maybe_available,1,26
macos rust gpui,macosrustgpui.io,.io,maybe_available,1,26
only who still,onlywhostill.com,.com,maybe_available,1,26
only who still,onlywhostill.ai,.ai,maybe_available,1,26
only who still,onlywhostill.io,.io,maybe_available,1,26
who still uses,whostilluses.com,.com,maybe_available,1,26
who still uses,whostilluses.ai,.ai,maybe_available,1,26
who still uses,whostilluses.io,.io,maybe_available,1,26
give api behind,giveapibehind.com,.com,maybe_available,1,26
give api behind,giveapibehind.ai,.ai,maybe_available,1,26
give api behind,giveapibehind.io,.io,maybe_available,1,26
api behind app,apibehindapp.com,.com,maybe_available,1,26
api behind app,apibehindapp.ai,.ai,maybe_available,1,26
api behind app,apibehindapp.io,.io,maybe_available,1,26
judgment against,judgmentagainst.com,.com,maybe_available,1,26
judgment against,judgmentagainst.ai,.ai,maybe_available,1,26
judgment against,judgmentagainst.io,.io,maybe_available,1,26
against switchpirates,againstswitchpirates.com,.com,maybe_available,1,26
against switchpirates,againstswitchpirates.ai,.ai,maybe_available,1,26
against switchpirates,againstswitchpirates.io,.io,maybe_available,1,26
switchpirates mod,switchpiratesmod.com,.com,maybe_available,1,26
switchpirates mod,switchpiratesmod.ai,.ai,maybe_available,1,26
switchpirates mod,switchpiratesmod.io,.io,maybe_available,1,26
limit interaction,limitinteraction.com,.com,maybe_available,1,26
limit interaction,limitinteraction.ai,.ai,maybe_available,1,26
limit interaction,limitinteraction.io,.io,maybe_available,1,26
seniors disastrous,seniorsdisastrous.com,.com,maybe_available,1,26
seniors disastrous,seniorsdisastrous.ai,.ai,maybe_available,1,26
seniors disastrous,seniorsdisastrous.io,.io,maybe_available,1,26
disastrous experiment,disastrousexperiment.com,.com,maybe_available,1,26
disastrous experiment,disastrousexperiment.ai,.ai,maybe_available,1,26
disastrous experiment,disastrousexperiment.io,.io,maybe_available,1,26
trump admin deny,trumpadmindeny.com,.com,maybe_available,1,26
trump admin deny,trumpadmindeny.ai,.ai,maybe_available,1,26
trump admin deny,trumpadmindeny.io,.io,maybe_available,1,26
digital expropriation,digitalexpropriation.com,.com,maybe_available,1,26
digital expropriation,digitalexpropriation.ai,.ai,maybe_available,1,26
digital expropriation,digitalexpropriation.io,.io,maybe_available,1,26
europeans interest,europeansinterest.com,.com,maybe_available,1,26
europeans interest,europeansinterest.ai,.ai,maybe_available,1,26
europeans interest,europeansinterest.io,.io,maybe_available,1,26
synthetic hospital open,synthetichospitalopen.com,.com,maybe_available,2,25
synthetic hospital open,synthetichospitalopen.ai,.ai,maybe_available,2,25
synthetic hospital open,synthetichospitalopen.io,.io,maybe_available,2,25
automatically generates,automaticallygenerates.com,.com,maybe_available,2,24
automatically generates,automaticallygenerates.ai,.ai,maybe_available,2,24
automatically generates,automaticallygenerates.io,.io,maybe_available,2,24
anchored extra-proximal,anchoredextraproximal.com,.com,maybe_available,2,24
anchored extra-proximal,anchoredextraproximal.ai,.ai,maybe_available,2,24
anchored extra-proximal,anchoredextraproximal.io,.io,maybe_available,2,24
link-level entanglement,linklevelentanglement.com,.com,maybe_available,2,24
link-level entanglement,linklevelentanglement.ai,.ai,maybe_available,2,24
link-level entanglement,linklevelentanglement.io,.io,maybe_available,2,24
joint-uncertainty gains,jointuncertaintygains.com,.com,maybe_available,2,24
joint-uncertainty gains,jointuncertaintygains.ai,.ai,maybe_available,2,24
joint-uncertainty gains,jointuncertaintygains.io,.io,maybe_available,2,24
synthesizing scientific,synthesizingscientific.com,.com,maybe_available,2,24
synthesizing scientific,synthesizingscientific.ai,.ai,maybe_available,2,24
synthesizing scientific,synthesizingscientific.io,.io,maybe_available,2,24
large-scale vietnamese,largescalevietnamese.com,.com,maybe_available,2,24
large-scale vietnamese,largescalevietnamese.ai,.ai,maybe_available,2,24
large-scale vietnamese,largescalevietnamese.io,.io,maybe_available,2,24
app2api give,app2apigive.com,.com,maybe_available,1,19
app2api give,app2apigive.ai,.ai,maybe_available,1,19
app2api give,app2apigive.io,.io,maybe_available,1,19
launcher macos rust,launchermacosrust.com,.com,maybe_available,1,18
launcher macos rust,launchermacosrust.ai,.ai,maybe_available,1,18
launcher macos rust,launchermacosrust.io,.io,maybe_available,1,18
still uses sublime,stillusessublime.com,.com,maybe_available,1,18
still uses sublime,stillusessublime.ai,.ai,maybe_available,1,18
still uses sublime,stillusessublime.io,.io,maybe_available,1,18
uses sublime text,usessublimetext.com,.com,maybe_available,1,18
uses sublime text,usessublimetext.ai,.ai,maybe_available,1,18
uses sublime text,usessublimetext.io,.io,maybe_available,1,18
sublime text daily,sublimetextdaily.com,.com,maybe_available,1,18
sublime text daily,sublimetextdaily.ai,.ai,maybe_available,1,18
sublime text daily,sublimetextdaily.io,.io,maybe_available,1,18
local assistant mac,localassistantmac.com,.com,maybe_available,1,18
local assistant mac,localassistantmac.ai,.ai,maybe_available,1,18
local assistant mac,localassistantmac.io,.io,maybe_available,1,18
assistant mac terminal,assistantmacterminal.com,.com,maybe_available,1,18
assistant mac terminal,assistantmacterminal.ai,.ai,maybe_available,1,18
assistant mac terminal,assistantmacterminal.io,.io,maybe_available,1,18
mac terminal asks,macterminalasks.com,.com,maybe_available,1,18
mac terminal asks,macterminalasks.ai,.ai,maybe_available,1,18
mac terminal asks,macterminalasks.io,.io,maybe_available,1,18
nintendo wins judgment,nintendowinsjudgment.com,.com,maybe_available,1,18
nintendo wins judgment,nintendowinsjudgment.ai,.ai,maybe_available,1,18
nintendo wins judgment,nintendowinsjudgment.io,.io,maybe_available,1,18
wins judgment against,winsjudgmentagainst.com,.com,maybe_available,1,18
wins judgment against,winsjudgmentagainst.ai,.ai,maybe_available,1,18
wins judgment against,winsjudgmentagainst.io,.io,maybe_available,1,18
admin deny medical,admindenymedical.com,.com,maybe_available,1,18
admin deny medical,admindenymedical.ai,.ai,maybe_available,1,18
admin deny medical,admindenymedical.io,.io,maybe_available,1,18
deny medical care,denymedicalcare.com,.com,maybe_available,1,18
deny medical care,denymedicalcare.ai,.ai,maybe_available,1,18
deny medical care,denymedicalcare.io,.io,maybe_available,1,18
medical care seniors,medicalcareseniors.com,.com,maybe_available,1,18
medical care seniors,medicalcareseniors.ai,.ai,maybe_available,1,18
medical care seniors,medicalcareseniors.io,.io,maybe_available,1,18
member states plan,memberstatesplan.com,.com,maybe_available,1,18
member states plan,memberstatesplan.ai,.ai,maybe_available,1,18
member states plan,memberstatesplan.io,.io,maybe_available,1,18
states plan digital,statesplandigital.com,.com,maybe_available,1,18
states plan digital,statesplandigital.ai,.ai,maybe_available,1,18
states plan digital,statesplandigital.io,.io,maybe_available,1,18
convex bodies membership,convexbodiesmembership.com,.com,maybe_available,2,16
convex bodies membership,convexbodiesmembership.ai,.ai,maybe_available,2,16
convex bodies membership,convexbodiesmembership.io,.io,maybe_available,2,16
bodies membership oracle,bodiesmembershiporacle.com,.com,maybe_available,2,16
bodies membership oracle,bodiesmembershiporacle.ai,.ai,maybe_available,2,16
bodies membership oracle,bodiesmembershiporacle.io,.io,maybe_available,2,16
electronic health record,electronichealthrecord.com,.com,taken_or_active,2,16
electronic health record,electronichealthrecord.ai,.ai,maybe_available,2,16
electronic health record,electronichealthrecord.io,.io,maybe_available,2,16
verifiable alien worlds,verifiablealienworlds.com,.com,maybe_available,2,16
verifiable alien worlds,verifiablealienworlds.ai,.ai,maybe_available,2,16
verifiable alien worlds,verifiablealienworlds.io,.io,maybe_available,2,16
neural surrogate solvers,neuralsurrogatesolvers.com,.com,maybe_available,2,16
neural surrogate solvers,neuralsurrogatesolvers.ai,.ai,maybe_available,2,16
neural surrogate solvers,neuralsurrogatesolvers.io,.io,maybe_available,2,16
surrogate solvers latent,surrogatesolverslatent.com,.com,maybe_available,2,16
surrogate solvers latent,surrogatesolverslatent.ai,.ai,maybe_available,2,16
surrogate solvers latent,surrogatesolverslatent.io,.io,maybe_available,2,16
network verification nnv,networkverificationnnv.com,.com,maybe_available,2,16
network verification nnv,networkverificationnnv.ai,.ai,maybe_available,2,16
network verification nnv,networkverificationnnv.io,.io,maybe_available,2,16
verifiable ground truth,verifiablegroundtruth.com,.com,maybe_available,2,16
verifiable ground truth,verifiablegroundtruth.ai,.ai,maybe_available,2,16
verifiable ground truth,verifiablegroundtruth.io,.io,maybe_available,2,16
only who,onlywho.com,.com,taken_or_active,1,16
only who,onlywho.ai,.ai,maybe_available,1,16
only who,onlywho.io,.io,maybe_available,1,16
give api,giveapi.com,.com,taken_or_active,1,16
give api,giveapi.ai,.ai,maybe_available,1,16
give api,giveapi.io,.io,maybe_available,1,16
expropriation europeans,expropriationeuropeans.com,.com,maybe_available,1,16
expropriation europeans,expropriationeuropeans.ai,.ai,maybe_available,1,16
expropriation europeans,expropriationeuropeans.io,.io,maybe_available,1,16
app2api give api,app2apigiveapi.com,.com,maybe_available,1,11
app2api give api,app2apigiveapi.ai,.ai,maybe_available,1,11
app2api give api,app2apigiveapi.io,.io,maybe_available,1,11
flashcat local assistant,flashcatlocalassistant.com,.com,maybe_available,1,8
flashcat local assistant,flashcatlocalassistant.ai,.ai,maybe_available,1,8
flashcat local assistant,flashcatlocalassistant.io,.io,maybe_available,1,8
care seniors disastrous,careseniorsdisastrous.com,.com,maybe_available,1,8
care seniors disastrous,careseniorsdisastrous.ai,.ai,maybe_available,1,8
care seniors disastrous,careseniorsdisastrous.io,.io,maybe_available,1,8
